idno,identifier,author,title,date,decade,genre,insp-type,insp-region
tc0657,tc0657,ScuderyG,AmourTyrannique,1640,1640s,Tragi-comédie,mythe,grece
tc0658,tc0658,ScuderyG,Arminius,1644,1640s,Tragédie,histoire,rome
tc0659,tc0659,ScuderyG,ComedieComediens,1635,1630s,Comédie,moeurs,france
tc0660,tc0660,ScuderyG,Eudoxe,1641,1640s,Tragi-comédie,histoire,rome
tc0661,tc0661,ScuderyG,FilsSuppose,1636,1630s,Comédie,moeurs,france
tc0662,tc0662,ScuderyG,LigdamonLidias,1631,1630s,Tragi-comédie,histoire,divers
tc0663,tc0663,ScuderyG,MortCesar1,1637,1630s,Tragédie,histoire,rome
tc0664,tc0664,ScuderyG,Orante,1636,1630s,Tragi-comédie,histoire,divers
tc0665,tc0665,ScuderyG,PrinceDeguise,1636,1630s,Tragi-comédie,histoire,divers
tc0666,tc0666,ScuderyG,VassalGenereux,1636,1630s,Tragi-comédie,moeurs,france
tc0673,tc0673,SommeriveC,Bajazet,1741,1740s,Tragédie,histoire,orient
tc0677,tc0677,TanevotA,AdamEve,1752,1750s,Tragédie,bible,divers
tc0678,tc0678,TristanF,Mariane,1644,1640s,Tragédie,bible,divers
tc0679,tc0679,TristanlF,MortChrispe,1645,1640s,Tragédie,bible,divers
tc0680,tc0680,TristanF,MortSeneque,1645,1640s,Tragédie,histoire,rome
tc0681,tc0681,TristanF,Osman,1656,1650s,Tragédie,histoire,orient
tc0682,tc0682,TristanF,Parasite,1654,1650s,Comédie,moeurs,france
tc0688,tc0688,VilliersC,FestinPierre,1660,1660s,Tragi-comédie,moeurs,espagne
tc0690,tc0690,Voltaire,AdelaideDuGuesclin,1766,1760s,Tragédie,histoire,france
tc0691,tc0691,Voltaire,Agathocle,1734,1730s,Tragédie,histoire,grece
tc0692,tc0692,Voltaire,Alzire,1736,1730s,Tragédie,histoire,europe
tc0694,tc0694,Voltaire,Brutus,1731,1730s,Tragédie,histoire,rome
tc0696,tc0696,Voltaire,Depositaire,1769,1760s,Comédie,moeurs,france
tc0698,tc0698,Voltaire,DroitSeigneur,1763,1760s,Comédie,moeurs,france
tc0699,tc0699,Voltaire,DucAlecon,1751,1750s,Tragédie,histoire,france
tc0700,tc0700,Voltaire,EnfantProdigue,1738,1730s,Comédie,moeurs,france
tc0701,tc0701,Voltaire,Envieux,1738,1730s,Tragédie,histoire,rome
tc0702,tc0702,Voltaire,Fanatisme,1741,1740s,Tragédie,histoire,orient
tc0703,tc0703,Voltaire,FemmeRaison,1759,1750s,Comédie,moeurs,france
tc0704,tc0704,Voltaire,Guebres,1769,1760s,Tragédie,histoire,rome
tc0706,tc0706,Voltaire,Irene,1778,1770s,Tragédie,histoire,rome
tc0707,tc0707,Voltaire,LoisMinos,1749,1740s,Tragédie,mythe,grece
tc0708,tc0708,Voltaire,Mariamne2,1724,1720s,Tragédie,histoire,divers
tc0709,tc0709,Voltaire,Merope,1743,1740s,Tragédie,histoire,rome
tc0710,tc0710,Voltaire,MortCesar1,1743,1740s,Tragédie,histoire,rome
tc0711,tc0711,Voltaire,Nanine,1749,1740s,Comédie,moeurs,france
tc0712,tc0712,Voltaire,Oedipe2,1718,1710s,Tragédie,mythe,grece
tc0713,tc0713,Voltaire,Olympe,1764,1760s,Tragédie,histoire,grece
tc0714,tc0714,Voltaire,Oreste,1750,1750s,Tragédie,mythe,grece
tc0715,tc0715,Voltaire,OriginauxMonsieur,1732,1730s,Comédie,moeurs,france
tc0716,tc0716,Voltaire,OrphelinChine,1755,1750s,Tragédie,histoire,divers
tc0718,tc0718,Voltaire,Pelopides,1772,1770s,Tragédie,mythe,grece
tc0719,tc0719,Voltaire,RomeSauvee,1750,1750s,Tragédie,histoire,rome
tc0722,tc0722,Voltaire,Semiramis2,1749,1740s,Tragédie,histoire,rome
tc0723,tc0723,Voltaire,Socrate,1759,1750s,Tragédie,histoire,grece
tc0724,tc0724,Voltaire,Sophonisbe3,1774,1770s,Tragédie,histoire,rome
tc0725,tc0725,Voltaire,Tancrede,1771,1770s,Tragédie,histoire,divers
tc0726,tc0726,Voltaire,TanisZelide,1733,1730s,Tragédie,mythe,divers
tc0727,tc0727,Voltaire,Zaire,1732,1730s,Tragédie,mythe,grece
