article id	author	year	title	journal/conference/collection	abstract	reference IDs	isDHQ
dworkin2011	Dworkin, Craig | Goldsmith, Kenneth	2011	Against Expression: An Anthology of Conceptual Writing				0
dwyer2007	Dwyer, Cathy	2007	Digital Relationships in the MySpace Generation: Results From a Qualitative Study	40th Hawaii International Conference on System Sciences (HICSS), Waikoloa, HI			0
dybkjaer2004	Dybkjær, Hans | Dybkjær, L.	2004	From acts and topics to transactions and dialogue smoothness	Proceedings of the fourth international conference on language resources and evaluation (LREC)			0
dybkjaer2006	Dybkjær, Hans | Dybkjær, L.	2006	Act-topic patterns for automatically checking dialogue models	Proceedings of the fifth international conference on language resources and evaluation			0
dybkjaer2007	Dybkjaer, L. | Hemsen, H. | Minkler, W.	2007	Evaluation of text and speech systems				0
dyck2008	Dyck, Paul | Williams, Stuart	2008	Toward an Electronic Edition of an Early Modern Assembled Book.	Digital Studies / Le Champ Numérique			0
dydo2003	Dydo, Ulla E.	2003	Gertrude Stein: The Language that Rises 1923-1934				0
dyer-witheford1999	Dyer-Witherford, Nick	1999	Cyber-Marx: Cycles and Circuits of Struggle in High-technology Capitalism				0
dyson1997	Dyson, George B.	1997	Darwin Among the Machines: The Evolution of Global Intelligence				0
dyson2004	Dyson, M.C.	2004	How physical text layout affects reading from screen	Behaviour & Information Technology			0
Eclipse2011	Eclipse	2011	Eclipse home website.				0
eagleton2008	Eagleton, Terry	2008	Literary Theory: An Introduction				0
eaket2008	Eaket, Chris	2008	Project [murmur] and the Performativity of Space,	Theatre Research in Canada			0
eaquaproject2011	University of Leipzig	n.d.	eAqua Project				0
earhart2011a	Earhart, Amy E.	2011	Challenging Gaps: Redesigning Collaboration in the Digital Humanities.	The American Literature Scholar in the Digital Age			0
earhart2011b	Earhart, Amy E. | Jewell, Andrew	2011	Introduction.	The American Literature Scholar in the Digital Age			0
earhart2012	Earhart, Amy	2013	Recovering the Recovered Text: Diversity, Canon Building, and Digital Studies.	DH 2012 (and in a modified format at the University of Kansas; video is of the latter)			0
easterling1992	Easterling, K. | Prelinger, R.	1992	Call It Home: The House that Private Enterprise Built				0
eaves1996	Eaves, Morris | Essick, Robert | Viscomi, Joseph	1996	The William Blake Archive				0
eaves1997	Eaves, Morris | Essick, Robert | Viscomi, Joseph	1997	The William Blake Archive				0
eaves2006	Eaves, Morris	2006	Crafting Editorial Settlements	RoN: Romanticism on the Net			0
eaves2006a	Eaves, Morris	2006	Multimedia Body Plans: A Self-Assessment.	Electronic Textual Editing			0
eaves2009	Eaves, Morris	2009	Picture Problems: X-Editing Images 1992-2010	Digital Humanities Quarterly			1
eaves2012	Eaves, Morris | Essick, Robert N. | Vicomi, Joseph	2012	Xediting Blake’s Tiriel: How It Lives and What It Lives For.	The Cynic Sang: The (Un)Official Blog of the William Blake Archive			0
eaves2013	Eaves, Morris	1997	Behind the Scenes at the William Blake Archive: Collaboration Takes More Than E-mail	The Journal of Electronic Publishing			0
ecar2008	Salaway, Gail | Caruso, Judy	2008	ECAR Study of Undergraduate Students and Information Technology, 2008				0
ecar2010	Smith, Shannon | Caruso, Judy	2010	ECAR Study of Undergraduate Students and Information Technology, 2010.				0
echizen2006	Echizen-ya, Hiroshi | Araki, Kenji | Momouchi, Yoshio	2006	Automatic extraction of bilingual word pairs using inductive chain learning in various languages	Information Processing and Management			0
eco1977	Eco, Umberto	1977	A Theory of Semiotics				0
eco1994	Eco, Umberto	1997	The Future of the Book				0
eco2009	Eco, Umberto	2009	The Infinity of Lists				0
economic2010	Economic and Social Research Council	2010	Research Data Policy,				0
ede1990	Ede, Lisa | Lunsford, Andrea	1990	Singular Texts/Plural Authors: Perspectives on Collaborative Writing				0
edelman2006	Edelman, G.M.	2006	Second nature: brain science and human knowledge.				0
edelmann1996	Edelmann, W.	1996	Lernpsychologie				0
eder1996	Eder, R.	1996	An Artist in Transit.	Los Angeles Times			0
eder2007	Eder, Maciej	2007	How Rhythmical is Hexameter: A Statistical Approach to Ancient Epic Poetry	Digital Humanities 2007			0
eder2013	Eder, Maciej	2013	Mind your Corpus: Systematic Errors in Authorship Attribution.	Literary and Linguistic Computing			0
edmonds2001	Edmonds, Philip | Cotton, Scott	2001	SENSEVAL-2: Overview	Proceedings of the Second International Workshop on Evaluating Word Sense Disambiguation System (SENSEVAL-2)			0
edmundson2008	Edmundson, Mark	2008	Dwelling in Possibilities	The Chronicle of Higher Education			0
educational1978	Educational Testing Service, 	1978	Evaluation of the TICCIT computer-assisted instructional system in the community college				0
edwards1992	Edwards, Derek | Potter, Jonathan	1992	Discursive psychology				0
edwards1992a	Edwards, Gavin	1992	CyberLit: William Gibson’s Latest Story Costs $450, Comes on Disk, and Self-Destructs after One Reading	Details			0
edwards1997	Edwards, Paul N.	1997	The Closed World: Computers and the Politics of Discourse in Cold War America				0
edwards2007	Edwards, P.N. | Jackson, S.J. | Bowker, G.C. | Knobel, C.P.	2007	Understanding Infrastructure: Dynamics, Tensions, and Design				0
edwards2009	Edwards, Paul N. | Bowker, Geoffrey C. | Jackson, Steven J. | Williams, Robin	2009	Introduction: An Agenda for Infrastructure Studies	Journal of the Association for Information Systems			0
edwards2011	Edwards, M.	2011	Untitled Post by M. Edwards	Community Thoughts (StephenKing.com)			0
efron1979	Efron, Bradley	1979	The Bootstrap	The Jackknife, the Bootstrap and Other Resampling Plans			0
efron1993	Efron, Bradley | Tibshirani, Robert J.	1993	An Introduction to the Bootstrap				0
efron2001	Efron, Bradley | Rogosa, D. | Tibshirani, R.	2001	Resampling Methods of Estimation	nternational Encyclopedia of Behavioral and Social Sciences			0
eggert2009	Eggert, Paul	2009	Securing the Past				0
eggins1997	Eggins, Suzanne | Slade, Diana	1997	Analysing casual conversation				0
eglash2002	Eglash, R.	2002	Race, Sex, and Nerds: From Black Geeks to Asian American Hipsters.	Social Text			0
ehremburg	Ehremburg, Ilya	n.d.	La Poesía de Nicolás Guillén	La última Hora			0
eidt2007	Eidt, Laur M. Sager	2008	Writing and Editing the Painting: Ekphrasis in Literature and Film				0
eikel1949	Eikel, Fred	1949	The use of cases in New Braunfels German	American Speech			0
eikel1966	Eikel, Fred	1966	New Braunfels German: Part II	American Speech			0
eikel1967	Eikel, Fred	1967	New Braunfels German: Part III	American Speech			0
eisenstein1942	Eisenstein, J.	1942	The Film Sense				0
eisenstein1949	Eisenstein, S.	1949	Film Form				0
eisenstein1979	Eisenstein, Elizabeth L.	1979	The Printing Press as an Agent of Change				0
eisner1985	Eisner, Will	1985	Comics & Sequential Art				0
eklund2010	Eklund, Tof	2010	New Computer Board Games: Counter-Immersive Forms and Theories of Play.	Futures of Digital Studies			0
ekman1969	Ekman, Paul | Friesen, Wallace V.	1969	The repertoire of nonverbal behavior: categories, origins, usage, and coding	Semiotica			0
ekman1971	Ekman, Paul | Friesen, Wallace V.	1971	Constants across cultures in the face and emotion	Journal of Personality and Social Psychology			0
ekman1972	Ekman, Paul	1972	Universals and Cultural Differences in Facial Expressions of Emotion	Nebraska symposium on motivation			0
ekman1974	Ekman, Paul | Friesen, Wally	1974	Detecting deception from the body or face	Journal of Personality and Social Psychology			0
ekman1978a	Ekman, Paul | Friesen, Wally	1978	Facial action coding system: Investigator's guide				0
ekman1978b	Ekman, Paul | Friesen, Wally	1978	Facial action coding system: A technique for the measurement of facial movement				0
ekman1979	Ekman, Paul	1979	About brows: Emotional and conversational signals	Human ethology: Claims and limits of a new discipline			0
ekman1982	Ekman, Paul	1982	Emotion in the human face				0
ekman1985	Ekman, Paul	1985	Telling lies: Clues to deceit in the marketplace, politics, and marriage				0
ekman1999	Ekman, Paul	1999	Basic emotions	The handbook of cognition and emotion			0
ekman2003	Ekman, Paul | Friesen, Wally	2003	Unmasking the face: A guide to recognizing emotions from facial cues				0
elbow2000	Elbow, Paul	2000	Everyone Can Write: Essays Toward a Hopeful Theory of Writing and Teaching Writing				0
elings2007	Elings, Mary W. | Waibel, Günter	2007	Metadata for All: Descriptive Standards and Metadata Sharing Across Libraries, Archives, and Museums	First Monday			0
eliot1921	Eliot, T.S.	1921	Tradition and Individual Talen	The Sacred Wood			0
eliot1994	Eliot, George | Ashton, Rosemary	1994	Middlemarch				0
elken2011	Elken, M.	2011	Crowdsourcing – A New Way to do Scholarly Work?	The Higher Education Development Association Blog			0
elkins1999	Elkins, James	1999	The Domain of Images				0
ellgring1989	Ellgring, H.	1989	Nonverbal communication in depression				0
elliott1993	Elliott, J. K.	1993	The Language & Style of the Gospel of Mark: An Edition of C.H.Turner’s "Notes on Marcan Usage" Together with Other Comparable Studies				0
elliott2005	Elliott, Keith J.	2005	Reflections on the Method: What Constitutes the Use of the Writings that Later Formed the New Testament in the Apostolic Fathers?	The Reception of the New Testament in the Apostolic Fathers			0
elliott2006	Elliott, Tom	2006	Pleiades: Beyond the Barrington Atlas	Proceedings of the American Philological Association			0
